name,version,hash
libtext-soundex-perl,3.05-1,4a5b3e45499adf747f0feabb52e053c5
liblomiri-download-manager-common-dev,0.1.0-8,f901bd895e0f0241bc41ae9e487e837a
libsendmail-pmilter-perl,1.00-1.1,562c397442415583cbe3f0737376cae8
libspullara-cli-parser-java,1.1.3~git20170531-1.1,a4d20cc592796b994c18c9436c34aa26
libnss-unknown,0.0.2-2+b1,b502781f86421c6ba23ca2d7833758e3
r-cran-magrittr,2.0.1-1,a090d083699e35aa228016bde38e342b
libatfs1,1.4pl6-14,7558c985809aaf26246399ac307708ca
cmake-extras,1.5-7,bd2f442db52d4ef342dd9df4db4b4e9c
ruby-sass,3.7.4-3,d30eec54aad999324f9dc2f88a800ca5
filler,1.02-6.3,73957c80032b57cf2812f8aa84114f56
apper-data,1.0.0-3,254fb8c5ea479406fe9f653a29e3a5ca
oxygen-sounds,4:5.20.5-1,ea2b280c3f856bc5d1457e62ef9db4ac
coco-cs,20110419-5.2,63c4573c8fa17d9d056007a68f6963d5
krb5-doc,1.18.3-6+deb11u1,5fc2d108d725be01192b5ccad65604c4
dict-freedict-pol-eng,2020.12.28-1.1,6f695c6f0d372ecd99aa4fe12efb7eb7
abyss,2.2.5+dfsg-1,e9ffffb92319c176b238c883751c5ff8
globus-xioperf,5.1-2,9a3586b40666df6a2202c86797a5d685
gfortran-10-multilib-mipsisa64r6-linux-gnuabi64,10.2.1-6cross1,b35cd8b04a10da17cab5792820b0bbd9
puppet-module-puppetlabs-apt,6.1.1-1,08d8245c459686242c0a0b39cd0b695b
yorick-ml4,0.6.0-3+b1,69a018bfd19fa8d40e6ebb02485f1c7e
gron,0.6.1-1+b5,e71b2108f499e1704821ffef68a30ab0
tryton-modules-sale-opportunity,5.0.3-1,e02324462d1e267c17f37a48ba92933b
dico,2.10-1,1ade9452c548fa8ee9d526f6dfa49708
elpa-eshell-prompt-extras,1.0-1,399804c6a7a052f24a0f5e4aacdf0972
adapta-gtk-theme,3.95.0.11-2,3827dc69231b9ebe61ad828a124200ad
ant-optional,1.10.9-4,239ac228d76a3afc74aa7aea46fa0320
connectome-workbench,1.5.0-1,d3fb4b9425c22d8f287c884761a32cbe
python3-pyee,7.0.2-1,b2fcb7dc4deb9ed76b1c5fdb058c971a
libcork-dev,0.15.0+ds-16,ecbe7185ed09621d0c9b7b90e3c950d5
science-physics,1.14.2,55710eeae26a360b2a03fb4478722db3
librust-git2-curl-dev,0.14.1-1,161152cc46c6e9a9be77ff86fc4bf9d4
ycmd,0+20201028+git1d415c5+ds-1+b2,63b223b1f3fdde6bd61f35f3c776ee66
evolver,2.70+ds-8,784e3b26936774745e41758d73ff1838
qtgstreamer-plugins-qt5,1.2.0-5.1,423294e3143bc2d4eecb0cd4e572724b
ncompress,4.2.4.6-4,de91f99f093566d619e272054a22068e
debian-installer-launcher,38,86fb2e5315b85da0a43e0a5850ae7cfd
python3-jupyterlab-server,2.1.3-1,09c80b9e52b3471410372da0c12d7d5e
udisks2-doc,2.9.2-2+deb11u1,cebecde5e210a1da167de203eb316024
coinor-libcbc-dev,2.10.5+ds1-3,8598665a7c9a896671b868cf411e6110
wmanager,0.3.0-2,70301c583e7b0e5bbd2ca5e88b7c5052
gcc-10-mipsisa32r6el-linux-gnu,10.2.1-6cross1,74bc81f71ffb13b054afb8ad721f4b53
python3.9-dbg,3.9.2-1,d886238df1ad62931bada5188a21079a
libdlm-dev,4.1.0-1,dff59548ddb25e251c441d2c6cfe3415
vsftpd-dbg,3.0.3-12+b1,d5bf86544894fb0106d1b884e66cc1c0
python3-winrm,0.3.0-2,abf8bf0ddbf1e210640e210259cb2679
gnome-clocks,3.38.0-1,cc95406a5bb88d5d25be08e8947e0176
pixelize,1.0.0-1+b2,1825fcadfacab7dc8aad3b14deb3a5cb
libtime-stopwatch-perl,1.00-6.1,f523f816cda3b18c73a8bb767c3aa412
tk8.6-blt2.5,2.5.3+dfsg-4.1,4745796af2c5490de389f9dbddc0991d
mgba-qt,0.8.4+dfsg-2,5229a831bf0d795c55388ac996e4d7c9
python3-pydantic,1.7.4-1,1493e5391919965ae22cb3605a5353ee
libpdf-api2-xs-perl,1.002-1,0be2fbf71c02efd2b16347732a211494
scrypt,1.3.1-1,c286c3a36c57160c593359563c6e8353
fcitx-table-emoji,0.2.4-2,8bd93be94bab8c68d9d671c41a1d1aee
libddsc-dev,0.7.0-7,962c2e23c1a51a73670f66d4b7d7036d
antlr,2.7.7+dfsg-10,37d39d6e39d000af7ac62031b011dc1c
qtbase5-doc-dev,5.15.2+dfsg-9,34fb2c3f770ed1bd8ff27bcb275b66a3
libatomic1-mips64r6-cross,10.2.1-6cross1,a68a816ad136715896c792fa746b7ec0
